nodeName altName nodeAttribute
comp10_c0 NA blue
comp10000_c0 NA turquoise
comp10002_c0 NA blue
comp10005_c0 NA blue
comp10006_c0 NA blue
comp10007_c0 NA turquoise
comp10008_c0 NA turquoise
comp10009_c0 NA turquoise
comp10010_c0 NA turquoise
comp10013_c0 NA blue
comp10014_c0 NA turquoise
comp10017_c0 NA turquoise
comp10018_c0 NA blue
comp10020_c0 NA turquoise
comp10025_c0 NA turquoise
comp10026_c1 NA turquoise
comp10029_c0 NA blue
comp1003_c0 NA blue
comp10031_c0 NA turquoise
comp10033_c0 NA turquoise
comp10038_c0 NA blue
comp10040_c0 NA turquoise
comp10041_c0 NA turquoise
comp10043_c0 NA turquoise
comp10047_c0 NA blue
comp10048_c0 NA blue
comp1005_c0 NA turquoise
comp10051_c0 NA blue
comp10053_c0 NA blue
comp10055_c0 NA turquoise
comp10056_c0 NA blue
comp10057_c0 NA blue
comp10058_c0 NA yellow
comp10059_c0 NA turquoise
comp10063_c0 NA blue
comp10064_c0 NA turquoise
comp10065_c0 NA blue
comp10070_c0 NA turquoise
comp10071_c0 NA brown
comp10073_c0 NA turquoise
comp10074_c0 NA blue
comp10076_c0 NA turquoise
comp10077_c0 NA blue
comp10078_c0 NA turquoise
comp10079_c0 NA brown
comp1008_c0 NA blue
comp10080_c0 NA yellow
comp10082_c0 NA turquoise
comp10082_c1 NA turquoise
comp10088_c0 NA turquoise
comp1009_c0 NA blue
comp10091_c0 NA turquoise
comp10092_c0 NA turquoise
comp100943_c0 NA blue
comp10095_c0 NA blue
comp10098_c0 NA turquoise
comp10099_c0 NA turquoise
comp101_c0 NA turquoise
comp10101_c0 NA turquoise
comp10103_c0 NA turquoise
comp10106_c0 NA turquoise
comp10107_c0 NA blue
comp10109_c35 NA blue
comp1011_c0 NA turquoise
comp10110_c0 NA turquoise
comp10111_c0 NA turquoise
comp10119_c0 NA turquoise
comp10122_c0 NA turquoise
comp10125_c0 NA brown
comp10126_c0 NA blue
comp10127_c0 NA turquoise
comp10128_c0 NA yellow
comp1013_c0 NA turquoise
comp10131_c0 NA blue
comp10138_c0 NA turquoise
comp1014_c0 NA turquoise
comp10142_c0 NA blue
comp10144_c0 NA turquoise
comp10145_c0 NA blue
comp10147_c0 NA turquoise
comp1015_c0 NA brown
