"comp1011_c0_seq1" "comp1027_c0_seq1" "comp10479_c0_seq1" "comp106_c0_seq1" "comp109965_c0_seq1" "comp11600_c0_seq1" "comp12566_c0_seq1" "comp12654_c0_seq1" "comp12726_c0_seq1" "comp13440_c4_seq1" "comp13582_c0_seq1" "comp1486_c0_seq1" "comp14951_c0_seq1" "comp15427_c1_seq1" "comp15462_c0_seq1" "comp15605_c0_seq1" "comp1565_c0_seq1" "comp18590_c0_seq1" "comp1964_c0_seq1" "comp19776_c1_seq1" "comp22028_c0_seq1" "comp2237_c0_seq1" "comp24588_c0_seq1" "comp25728_c1_seq1" "comp26296_c0_seq1" "comp27438_c0_seq1" "comp29496_c0_seq1" "comp3065_c0_seq1" "comp3102_c0_seq1" "comp3285_c0_seq1" "comp33268_c0_seq1" "comp33846_c0_seq1" "comp3733_c0_seq1" "comp385_c0_seq1" "comp41125_c0_seq1" "comp4147_c0_seq1" "comp43034_c0_seq1" "comp4328_c0_seq1" "comp4611_c1_seq1" "comp46376_c0_seq1" "comp4835_c0_seq1" "comp4866_c0_seq1" "comp50758_c0_seq1" "comp51036_c0_seq1" "comp51056_c0_seq1" "comp5702_c1_seq1" "comp5739_c0_seq1" "comp5776_c0_seq1" "comp60064_c0_seq1" "comp6247_c0_seq1" "comp6268_c0_seq1" "comp6329_c0_seq1" "comp64000_c0_seq1" "comp64053_c0_seq1" "comp6753_c0_seq1" "comp6762_c0_seq1" "comp7067_c0_seq1" "comp7786_c0_seq1" "comp8064_c0_seq1" "comp8130_c0_seq1" "comp815_c0_seq1" "comp8237_c0_seq1" "comp90150_c0_seq1" "comp93351_c0_seq1" "comp9553_c0_seq1" "comp9706_c0_seq1"
"comp1011_c0_seq1" 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.0371410228587963 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.0640115940824468 0.03271484375 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.0323643838205645 0.5 0.5 0.5 0.5 0.5 0.5
"comp1027_c0_seq1" 0.5 0.5 0.5 0.207650533536585 9.5367431640625e-07 0.5 0.5 9.5367431640625e-07 0.5 0.5 0.5 0.290379723837209 0.5 9.5367431640625e-07 0.195995949332978 0.5 9.5367431640625e-07 0.5 9.5367431640625e-07 0.0116861032885174 0.5 9.5367431640625e-07 9.5367431640625e-07 9.5367431640625e-07 0.0122531797827744 9.5367431640625e-07 9.5367431640625e-07 9.5367431640625e-07 0.5 9.5367431640625e-07 9.5367431640625e-07 0.0545388926630435 0.292349466463415 9.5367431640625e-07 0.298468929597701 9.5367431640625e-07 0.299609375 0.5 0.5 0.5 9.5367431640625e-07 0.294387335526316 0.5 9.5367431640625e-07 0.5 0.5 0.5 0.5 9.5367431640625e-07 0.241246234939759 9.5367431640625e-07 9.5367431640625e-07 0.5 9.5367431640625e-07 0.5 9.5367431640625e-07 9.5367431640625e-07 9.5367431640625e-07 9.5367431640625e-07 0.5 0.5 0.5 9.5367431640625e-07 9.5367431640625e-07 9.5367431640625e-07 9.5367431640625e-07
"comp10479_c0_seq1" 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.282353940217391 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
"comp106_c0_seq1" 0.5 0.207650533536585 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.207650533536585 0.5 0.5 0.5 0.5 0.207650533536585 0.5 0.5 0.207650533536585 0.5 0.5 0.5 0.207650533536585 0.207650533536585 0.207650533536585 0.5 0.5 0.5 0.274609375 0.5 0.207650533536585 0.5 0.5 0.5 0.5 0.5 0.5 0.21279296875 0.292349466463415 0.5 0.25 0.5 0.5 0.5 0.5 0.207650533536585 0.5 0.5 0.5 0.5 0.5 0.292349466463415 0.5 0.5 0.207650533536585 0.210834703947368 0.5 0.5 0.5 0.25 0.5 0.5 0.5
"comp109965_c0_seq1" 0.5 9.5367431640625e-07 0.5 0.5 0.5 0.5 0.5 9.5367431640625e-07 0.5 0.5 0.5 0.5 0.5 9.5367431640625e-07 0.5 0.5 9.5367431640625e-07 0.5 9.5367431640625e-07 9.5367431640625e-07 0.5 9.5367431640625e-07 9.5367431640625e-07 9.5367431640625e-07 0.0122531797827744 0.5 9.5367431640625e-07 0.5 0.5 9.5367431640625e-07 9.5367431640625e-07 0.5 0.5 0.5 0.5 9.5367431640625e-07 0.5 0.5 0.5 0.5 9.5367431640625e-07 0.5 0.5 9.5367431640625e-07 0.5 0.5 0.5 0.5 0.5 0.5 9.5367431640625e-07 9.5367431640625e-07 0.5 9.5367431640625e-07 0.5 9.5367431640625e-07 9.5367431640625e-07 0.5 9.5367431640625e-07 0.5 0.5 0.5 9.5367431640625e-07 9.5367431640625e-07 9.5367431640625e-07 9.5367431640625e-07
"comp11600_c0_seq1" 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.057628182387016 0.5 0.5 0.5 0.157294484965907 1.05700642180404e-05 0.5 0.5 0.167627434587172 0.0612985751005206 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
"comp12566_c0_seq1" 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.0106967357878989 0.5 0.5 0.5 0.5 0.5
"comp12654_c0_seq1" 0.5 9.5367431640625e-07 0.5 0.5 9.5367431640625e-07 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 9.5367431640625e-07 0.5 0.5 9.5367431640625e-07 0.5 9.5367431640625e-07 9.5367431640625e-07 0.5 9.5367431640625e-07 9.5367431640625e-07 9.5367431640625e-07 0.0122531797827744 0.5 9.5367431640625e-07 0.5 0.5 9.5367431640625e-07 9.5367431640625e-07 0.5 0.5 0.5 0.5 9.5367431640625e-07 0.5 0.5 0.5 0.5 9.5367431640625e-07 0.5 0.5 9.5367431640625e-07 0.5 0.5 0.5 0.5 0.5 0.5 9.5367431640625e-07 9.5367431640625e-07 0.5 9.5367431640625e-07 0.5 9.5367431640625e-07 9.5367431640625e-07 0.5 9.5367431640625e-07 0.5 0.5 0.5 9.5367431640625e-07 9.5367431640625e-07 9.5367431640625e-07 9.5367431640625e-07
"comp12726_c0_seq1" 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.137063116776316 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.297247023809524 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.296338427197802 0.305047286184211 0.296338427197802 0.5 0.305047286184211 0.5 0.5 0.5 0.5 0.5 0.03271484375 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
"comp13440_c4_seq1" 0.0371410228587963 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.110030011432927 0.0742458767361111 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.0742458767361111 0.5 0.5 0.5 0.5 0.5 0.5
