comp33533_c0_seq1	comp102107_c0_seq1
comp51227_c0_seq1	comp87986_c0_seq1
comp5702_c1_seq1	comp6476_c0_seq1
comp11579_c0_seq1	comp10747_c0_seq1
comp10479_c0_seq1	comp10574_c0_seq1
comp1063_c0_seq1	comp2058_c0_seq1
comp13478_c0_seq1	comp11950_c0_seq1
comp1486_c0_seq1	comp1229_c0_seq1
comp15605_c0_seq1	comp1566_c2_seq1
comp16230_c0_seq1	comp20162_c0_seq1
comp16861_c0_seq1	comp19034_c0_seq1
comp17039_c0_seq1	comp19126_c0_seq1
comp18993_c0_seq1	comp20822_c0_seq1
comp1945_c0_seq1	comp3348_c0_seq1
comp20970_c0_seq1	comp30108_c1_seq1
comp27462_c0_seq1	comp24975_c0_seq1
comp3065_c0_seq1	comp2251_c0_seq1
comp32742_c0_seq1	comp22930_c1_seq1
comp33194_c0_seq1	comp50742_c0_seq1
comp35710_c0_seq1	comp26059_c1_seq1
comp3879_c0_seq1	comp4276_c0_seq1
comp40559_c0_seq1	comp48320_c0_seq1
comp4611_c0_seq1	comp4946_c1_seq1
comp506_c0_seq1	comp424_c0_seq1
comp52069_c0_seq1	comp16175_c0_seq1
comp7786_c0_seq1	comp4752_c0_seq1
comp8237_c0_seq1	comp6497_c0_seq1
comp8622_c1_seq1	comp7656_c0_seq1
comp14068_c0_seq1	comp14426_c0_seq1
comp13948_c0_seq1	comp20662_c0_seq1
comp9808_c0_seq1	comp14791_c0_seq1
comp19663_c0_seq1	comp11472_c0_seq1
comp45053_c0_seq1	comp11688_c3_seq1
comp835_c0_seq1	comp1174_c0_seq1
comp14965_c0_seq1	comp12230_c0_seq1
comp12831_c0_seq1	comp12799_c0_seq1
comp15191_c0_seq1	comp13815_c0_seq1
comp17077_c1_seq1	comp16873_c0_seq1
comp14798_c0_seq1	comp20005_c0_seq1
comp20167_c3_seq1	comp20932_c2_seq1
comp3587_c0_seq1	comp2311_c0_seq1
comp40827_c0_seq1	comp45671_c0_seq1
comp2741_c0_seq1	comp5875_c0_seq1
comp7826_c0_seq1	comp5881_c0_seq1
comp7642_c0_seq1	comp7473_c0_seq1
comp13293_c0_seq1	comp8762_c2_seq1
comp7325_c0_seq1	comp9170_c0_seq1
