"contig" "numOutSnps" "numTotSnps" "prop" "TempGroup" "PrecipGroup" "BothTempPrecip" "SpruceOrthoOut" "NumTempOut" "NumPrecipOut"
"comp10095_c0_seq1" 2 76 0.0263157894736842 FALSE FALSE FALSE FALSE 0 0
"comp1011_c0_seq1" 2 41 0.0487804878048781 TRUE FALSE FALSE FALSE 1 0
"comp1027_c0_seq1" 4 36 0.111111111111111 FALSE TRUE FALSE FALSE 0 4
"comp10457_c0_seq1" 2 28 0.0714285714285714 FALSE FALSE FALSE FALSE 0 0
"comp10478_c0_seq1" 2 40 0.05 FALSE FALSE FALSE FALSE 0 0
"comp106_c0_seq1" 1 23 0.0434782608695652 FALSE FALSE FALSE FALSE 0 0
"comp1063_c0_seq1" 1 87 0.0114942528735632 FALSE FALSE FALSE TRUE 0 0
"comp1073_c0_seq1" 2 61 0.0327868852459016 FALSE FALSE FALSE FALSE 0 0
"comp10809_c0_seq1" 1 28 0.0357142857142857 FALSE FALSE FALSE FALSE 0 0
"comp109965_c0_seq1" 2 17 0.117647058823529 FALSE FALSE FALSE FALSE 0 0
"comp11553_c0_seq1" 1 100 0.01 FALSE TRUE FALSE FALSE 0 1
"comp1180_c0_seq1" 3 16 0.1875 TRUE FALSE FALSE FALSE 3 0
"comp11801_c0_seq1" 1 52 0.0192307692307692 FALSE FALSE FALSE FALSE 0 0
"comp1221_c0_seq1" 1 20 0.05 FALSE FALSE FALSE FALSE 0 0
"comp12566_c0_seq1" 1 12 0.0833333333333333 FALSE FALSE FALSE FALSE 0 0
"comp12654_c0_seq1" 3 34 0.0882352941176471 FALSE TRUE FALSE FALSE 0 3
"comp1305_c0_seq1" 2 76 0.0263157894736842 FALSE FALSE FALSE FALSE 0 0
"comp13145_c1_seq1" 1 85 0.0117647058823529 TRUE FALSE FALSE FALSE 1 0
"comp13672_c0_seq1" 1 72 0.0138888888888889 FALSE FALSE FALSE FALSE 0 0
"comp14168_c0_seq1" 2 54 0.037037037037037 FALSE FALSE FALSE FALSE 0 0
"comp1439_c0_seq1" 2 58 0.0344827586206897 TRUE FALSE FALSE FALSE 1 0
"comp1486_c0_seq1" 3 36 0.0833333333333333 FALSE FALSE FALSE TRUE 0 0
"comp14951_c0_seq1" 1 18 0.0555555555555556 FALSE FALSE FALSE FALSE 0 0
"comp15037_c0_seq1" 2 28 0.0714285714285714 FALSE FALSE FALSE FALSE 0 0
"comp1506_c0_seq1" 2 55 0.0363636363636364 FALSE TRUE FALSE FALSE 0 1
"comp15191_c0_seq1" 2 32 0.0625 FALSE FALSE FALSE FALSE 0 0
"comp15605_c0_seq1" 2 46 0.0434782608695652 TRUE FALSE FALSE TRUE 1 0
"comp1563_c0_seq1" 19 25 0.76 TRUE TRUE TRUE FALSE 16 2
"comp1565_c0_seq1" 34 127 0.267716535433071 FALSE TRUE FALSE FALSE 0 24
"comp16474_c1_seq1" 1 39 0.0256410256410256 FALSE FALSE FALSE FALSE 0 0
"comp17487_c0_seq1" 6 32 0.1875 FALSE FALSE FALSE FALSE 0 0
"comp18_c0_seq1" 1 51 0.0196078431372549 FALSE FALSE FALSE FALSE 0 0
"comp1805_c0_seq1" 2 68 0.0294117647058824 FALSE FALSE FALSE FALSE 0 0
"comp1878_c0_seq1" 1 107 0.00934579439252336 FALSE FALSE FALSE FALSE 0 0
"comp1964_c0_seq1" 12 40 0.3 FALSE TRUE FALSE FALSE 0 7
"comp19776_c1_seq1" 2 54 0.037037037037037 TRUE TRUE TRUE FALSE 1 2
"comp2016_c0_seq1" 1 58 0.0172413793103448 FALSE FALSE FALSE FALSE 0 0
"comp21748_c0_seq1" 2 32 0.0625 TRUE TRUE TRUE FALSE 2 1
