Contig	SNPs
comp9415_c0_seq1	3
comp50758_c0_seq1	3
comp12654_c0_seq1	3
comp5776_c0_seq1	3
comp26296_c0_seq1	3
comp1180_c0_seq1	3
comp9706_c0_seq1	3
comp3285_c0_seq1	3
comp6268_c0_seq1	3
comp1486_c0_seq1	3
comp29496_c0_seq1	4
comp1027_c0_seq1	4
comp24588_c0_seq1	5
comp64053_c0_seq1	5
comp25728_c1_seq1	5
comp8237_c0_seq1	5
comp23254_c0_seq1	6
comp17487_c0_seq1	6
comp6762_c0_seq1	7
comp4147_c0_seq1	8
comp4835_c0_seq1	8
comp6329_c0_seq1	8
comp9553_c0_seq1	9
comp2237_c0_seq1	11
comp1964_c0_seq1	12
comp73926_c0_seq1	13
comp33846_c0_seq1	15
comp1563_c0_seq1	19
comp1565_c0_seq1	34
comp60064_c0_seq1	46
